ìÂ;ìÀ
4.66874200;4.6687E-03
4.66874200;4.6687E-03
4.66874200;4.6687E-03
4.66874200;4.6687E-03
4.66874200;4.6687E-03
4.66874200;4.6687E-03
4.66898100;4.6690E-03
4.66898100;4.6690E-03
4.66898100;4.6690E-03
4.66898100;4.6690E-03
4.66898100;4.6690E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66921900;4.6692E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66945800;4.6695E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66969600;4.6697E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.66993500;4.6699E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67017300;4.6702E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67041100;4.6704E-03
4.67065000;4.6707E-03
4.67065000;4.6707E-03
4.67088800;4.6709E-03
4.67088800;4.6709E-03
4.67088800;4.6709E-03
4.67088800;4.6709E-03
4.67088800;4.6709E-03
4.67088800;4.6709E-03
4.67112700;4.6711E-03
4.67112700;4.6711E-03
4.67112700;4.6711E-03
4.67112700;4.6711E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67136500;4.6714E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67160300;4.6716E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67184200;4.6718E-03
4.67208000;4.6721E-03
4.67208000;4.6721E-03
4.67208000;4.6721E-03
4.67208000;4.6721E-03
4.67208000;4.6721E-03
4.67208000;4.6721E-03
4.67208000;4.6721E-03
4.67231900;4.6723E-03
4.67231900;4.6723E-03
4.67231900;4.6723E-03
4.67231900;4.6723E-03
4.67255700;4.6726E-03
4.67255700;4.6726E-03
4.67255700;4.6726E-03
4.67255700;4.6726E-03
4.67255700;4.6726E-03
4.67255700;4.6726E-03
4.67255700;4.6726E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67279600;4.6728E-03
4.67303400;4.6730E-03
4.67303400;4.6730E-03
4.67303400;4.6730E-03
4.67303400;4.6730E-03
4.67327200;4.6733E-03
4.67327200;4.6733E-03
4.67351100;4.6735E-03
